Benchmark,Benchmark Type,Mode,Version,Model,Type,Size,List Name,Unordered Pairs Before,Unordered Pairs After,Unordered Neighbors Before,Unordered Neighbors After,Missing Items,Additional Items,Numeric Similarity,Incorrect Items,Output List Length,Output Length,Thinking Length,Parsed,HasError,ErrorType,IsList,HasEllipsis,RequiredTypeParsing,Unordered Pairs (%),Unordered Neighbors (%),Missing Items (%),Additional Items (%),Incorrect Items (%),Validity Score,Faithfulness Score,Benchmark Score,Overall Score
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_1,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_5,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_7,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_9,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_10,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort-descending,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort-descending,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
sortbench,sort-descending,advanced,v2.0,gpt-5-mini_reasoning_minimal,ASCII-Cased,2,list_3,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
